title,miles,price,location,link,year
,,80.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/831342277617546/,
1998 Ford F-150 Long Bed,167000.0,2550.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/845233362947602/,1998.0
2003 Saturn Ion 1 Sedan 4D,144000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/381696906361978/,2003.0
2004 Ford Freestar SEL Minivan 4D,86000.0,2300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1047385685722246/,2004.0
1996 Mercury Grand Marquis LS Sedan 4D,148000.0,600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/424771555585024/,1996.0
2000 Chevrolet Blazer Sport Utility 4D,146000.0,3500.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/384518002732753/,2000.0
1997 Ford Explorer Sport Utility 2D,256000.0,900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/264552571606799/,1997.0
1996 Ford Contour,110000.0,600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/349328479648596/,1996.0
1997 Toyota Camry XLE Sedan 4D,126000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/890436908446578/,1997.0
2008 Mazda Mazda6,155000.0,700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/348000289961528/,2008.0
1994 Mazda B-Series B4000 4WD LE,325000.0,500.0,"Woodland Park, CO",https://www.facebook.com/marketplace/item/495612798065037/,1994.0
1999 Lincoln Navigator Sport Utility 4D,243000.0,2800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/828642014591653/,1999.0
2007 Pontiac G6 Sedan 4D,209000.0,1800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/261171755110756/,2007.0
2001 Ford F-350 Long Bed,190000.0,1000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2818889315000776/,2001.0
2005 Chevrolet TrailBlazer,146000.0,2950.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/478688946364582/,2005.0
2005 Dodge Stratus SXT Sedan 4D,175000.0,1800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/373877983801936/,2005.0
1997 Ford Expedition Sport Utility 4D,270000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2043041235994428/,1997.0
2001 Chevrolet Tahoe Sport Utility 4D,158000.0,3900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/697997571148865/,2001.0
1995 Jeep Grand Cherokee Laredo Sport Utility 4D,238000.0,1700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/290147905420484/,1995.0
2003 GMC 2500 hd SLE Pickup 2D 6 1/2 ft,304000.0,8500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/363390758323087/,2003.0
2004 Ford F-150 FX4 Pickup 4D 5 1/2 ft,305000.0,4300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/664394567534258/,2004.0
2007 GMC Canyon,237000.0,3600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1288262581519850/,2007.0
1990 Chevrolet Suburban,175000.0,2000.0,"Woodland Park, CO",https://www.facebook.com/marketplace/item/1290465951286597/,1990.0
1996 Buick LeSabre Custom Sedan 4D,130000.0,1200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/289651442082556/,1996.0
1999 GMC Gmc Suburban 2500 Sport Utility,203000.0,3900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/810967626358854/,1999.0
2000 Dodge Dakota Short Bed,151000.0,2300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/384993909217143/,2000.0
2002 Jeep Liberty,160000.0,1600.0,"Woodland Park, CO",https://www.facebook.com/marketplace/item/2668993886744347/,2002.0
1994 Ford Explorer Sport Utility 2D,212000.0,1200.0,"Elizabeth, CO",https://www.facebook.com/marketplace/item/679472086040908/,1994.0
1995 Dodge Ram 2500 Long Bed,205000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/356736752273266/,1995.0
2001 Ford Taurus,134000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/829395137602302/,2001.0
2002 GMC Sierra,160000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/358219141908791/,2002.0
2000 Chevrolet Silverado 1500,374000.0,2800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1409660139238823/,2000.0
2002 Chevrolet Silverado 1500 Short Bed,211000.0,3800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3626475290724409/,2002.0
2001 Dodge Dakota,119000.0,4900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/387004619328300/,2001.0
