title,miles,price,location,link,year
2007 Ford Taurus SE Sedan 4D,189000.0,1700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/657234451846070/,2007.0
2001 Dodge Ram 1500,148000.0,7000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2591530381137676/,2001.0
1997 Ford F-150 Short Bed,166000.0,3250.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2387078918260669/,1997.0
2002 Jeep Liberty Sport Utility 4D,160000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/351230892758061/,2002.0
2007 Dodge Charger SE Sedan 4D,195000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/389787965529138/,2007.0
1996 Ford Contour,110000.0,700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/349328479648596/,1996.0
2004 Ford F-150 Lariat Pickup 4D 6 1/2 ft,191000.0,7500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/913391975852210/,2004.0
1999 Dodge Ram 1500 Short Bed,208000.0,3200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/359588225189007/,1999.0
1999 Ford Ranger Pickup 2D,190000.0,2200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/407306823979454/,1999.0
2006 Ford Freestyle Limited Sport Utility 4D,175000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/360257051914959/,2006.0
1991 Dodge Dakota Pickup,176000.0,1400.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/390446095414868/,1991.0
2004 Saturn VUE Sport Utility 4D,169000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/346473406710790/,2004.0
2001 Honda CR-V LX Sport Utility 4D,234000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/700407860602394/,2001.0
1999 Chevrolet Silverado 1500,227000.0,3200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/724944028314286/,1999.0
2000 Chevrolet Blazer,,4000.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/384518002732753/,2000.0
1998 Dodge Ram 1500 Short Bed,256000.0,2700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/469848973975150/,1998.0
2003 Chevrolet Impala Sedan 4D,185000.0,1900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/371346827328387/,2003.0
2002 Pontiac Grand Prix GT Sedan 4D,171000.0,1099.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3731319856902012/,2002.0
1996 Acura Integra LS Sport Coupe 2D,137000.0,3000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2792196764331736/,1996.0
